time,emg1,emg2,label
1776066796.0923347,14,48,1
1776066796.094355,14,48,1
1776066796.0957637,14,48,1
1776066796.096769,14,48,1
1776066796.1003664,12,46,1
1776066796.1023488,12,48,1
1776066796.1036015,12,48,1
1776066796.1046643,12,48,1
1776066796.108399,12,48,1
1776066796.1103709,12,50,1
1776066796.1117635,12,50,1
1776066796.1127684,12,50,1
1776066796.1157887,12,50,1
1776066796.1184595,12,50,1
1776066796.1200619,12,50,1
1776066796.121091,12,50,1
1776066796.1244516,12,50,1
1776066796.1264508,12,52,1
1776066796.1278136,12,52,1
1776066796.1288192,12,52,1
1776066796.132422,12,54,1
1776066796.1339476,14,52,1
1776066796.1353574,14,54,1
1776066796.1366348,14,52,1
1776066796.1404464,14,52,1
1776066796.1424272,14,52,1
1776066796.143839,14,50,1
1776066796.1448445,14,50,1
1776066796.1484396,14,52,1
1776066796.1498635,14,52,1
1776066796.152344,14,54,1
1776066796.152344,14,54,1
1776066796.1564746,14,54,1
1776066796.1584535,14,56,1
1776066796.1598887,12,58,1
1776066796.1792843,12,58,1
1776066796.1841192,12,60,1
1776066796.204747,12,60,1
1776066796.2102745,12,62,1
1776066796.2232027,12,64,1
1776066796.225214,12,64,1
1776066796.231245,12,64,1
1776066796.2377129,12,64,1
1776066796.2377129,12,64,1
1776066796.2377129,12,64,1
1776066796.2397208,12,64,1
1776066796.2397208,12,64,1
1776066796.2397208,12,62,1
1776066796.2397208,12,64,1
1776066796.2417293,12,64,1
1776066796.2417293,12,64,1
1776066796.2437367,12,66,1
1776066796.2437367,12,64,1
1776066796.2437367,12,64,1
1776066796.2457445,12,64,1
1776066796.2457445,12,64,1
1776066796.2457445,12,62,1
1776066796.2457445,12,64,1
1776066796.2497594,12,62,1
1776066796.250818,12,64,1
1776066796.251822,12,64,1
1776066796.251822,12,66,1
1776066796.2528236,12,66,1
1776066796.2528236,12,66,1
1776066796.2528236,12,68,1
1776066796.2550483,12,66,1
1776066796.2550483,14,68,1
1776066796.2550483,14,68,1
1776066796.2550483,14,70,1
1776066796.2550483,14,72,1
1776066796.2550483,14,74,1
1776066796.2550483,14,72,1
1776066796.2550483,14,76,1
1776066796.2550483,16,74,1
1776066796.2550483,16,78,1
1776066796.2550483,16,78,1
1776066796.2550483,16,78,1
1776066796.2550483,16,78,1
1776066796.2550483,16,78,1
1776066796.2550483,16,78,1
1776066796.2550483,16,78,1
1776066796.2550483,16,80,1
1776066796.2550483,16,80,1
1776066796.2550483,14,82,1
1776066796.2550483,14,82,1
1776066796.2550483,14,82,1
1776066796.2721412,14,80,1
1776066796.2721412,14,80,1
1776066796.2733903,14,80,1
1776066796.2733903,14,80,1
1776066796.2743902,14,80,1
1776066796.2743902,14,80,1
1776066796.2765603,14,78,1
1776066796.277569,14,80,1
1776066796.2807696,14,78,1
1776066796.2826893,14,78,1
1776066796.2839148,14,78,1
1776066796.2871277,14,78,1
